Name,Description,WKT,SSID,BSSID,City,County,ZIP,Latitude,Longitude,First_Seen,Last_Seen,Wigle_URL
ALPR Camera - Spring,"ALPR Surveillance Camera - SSID: Flock-623409 - BSSID: 00:F4:8D:62:34:09 - Location: Spring, Montgomery County - ZIP: 77379",POINT(-95.57138824 30.02189636),Flock-623409,00:F4:8D:62:34:09,Spring,Montgomery,77379,30.02189636,-95.57138824,2021-08-07T19:00:00.000Z,2021-10-20T07:00:00.000Z,https://wigle.net/search?netid=00:F4:8D:62:34:09
ALPR Camera - Dallas,"ALPR Surveillance Camera - SSID: Flock-6235E1 - BSSID: 00:F4:8D:62:35:E1 - Location: Dallas, Dallas County - ZIP: 75218",POINT(-96.69942474 32.86431122),Flock-6235E1,00:F4:8D:62:35:E1,Dallas,Dallas,75218,32.86431122,-96.69942474,2020-10-10T21:00:00.000Z,2021-03-17T21:00:00.000Z,https://wigle.net/search?netid=00:F4:8D:62:35:E1
ALPR Camera - Pinehurst,"ALPR Surveillance Camera - SSID: Flock-6FE567 - BSSID: 14:5A:FC:6F:E5:67 - Location: Pinehurst, Montgomery County - ZIP: 77356",POINT(-95.68084717 30.39705658),Flock-6FE567,14:5A:FC:6F:E5:67,Pinehurst,Montgomery,77356,30.39705658,-95.68084717,2022-05-20T13:00:00.000Z,2022-05-20T21:00:00.000Z,https://wigle.net/search?netid=14:5A:FC:6F:E5:67
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-A4E321 - BSSID: 3C:91:80:A4:E3:21 - Location: Fort Worth, Tarrant County - ZIP: 76106",POINT(-97.38930511 32.8248024),Flock-A4E321,3C:91:80:A4:E3:21,Fort Worth,Tarrant,76106,32.8248024,-97.38930511,2020-09-30T15:00:00.000Z,2020-09-30T19:00:00.000Z,https://wigle.net/search?netid=3C:91:80:A4:E3:21
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-A4EDCD - BSSID: 3C:91:80:A4:ED:CD - Location: Fort Worth, Tarrant County - ZIP: 76106",POINT(-97.35532379 32.76968765),Flock-A4EDCD,3C:91:80:A4:ED:CD,Fort Worth,Tarrant,76106,32.76968765,-97.35532379,2021-05-29T22:00:00.000Z,2021-05-30T00:00:00.000Z,https://wigle.net/search?netid=3C:91:80:A4:ED:CD
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-BAE77B - BSSID: 3C:91:80:BA:E7:7B - Location: Fort Worth, Tarrant County - ZIP: 76179",POINT(-97.3970871 32.8809967),Flock-BAE77B,3C:91:80:BA:E7:7B,Fort Worth,Tarrant,76179,32.8809967,-97.3970871,2020-12-01T17:00:00.000Z,2020-12-02T19:00:00.000Z,https://wigle.net/search?netid=3C:91:80:BA:E7:7B
ALPR Camera - Houston,"ALPR Surveillance Camera - SSID: Flock-68E1B3 - BSSID: 74:4C:A1:68:E1:B3 - Location: Houston, Harris County - ZIP: 77057",POINT(-95.49242401 29.75018311),Flock-68E1B3,74:4C:A1:68:E1:B3,Houston,Harris,77057,29.75018311,-95.49242401,2024-05-02T16:00:00.000Z,2024-05-14T05:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:68:E1:B3
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-7ECD01 - BSSID: 74:4C:A1:7E:CD:01 - Location: Fort Worth, Tarrant County - ZIP: 76119",POINT(-97.23110962 32.70898819),Flock-7ECD01,74:4C:A1:7E:CD:01,Fort Worth,Tarrant,76119,32.70898819,-97.23110962,2021-11-13T15:00:00.000Z,2021-12-15T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:7E:CD:01
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-8925EB - BSSID: 74:4C:A1:89:25:EB - Location: Fort Worth, Tarrant County - ZIP: 76119",POINT(-97.23324585 32.70510864),Flock-8925EB,74:4C:A1:89:25:EB,Fort Worth,Tarrant,76119,32.70510864,-97.23324585,2021-11-13T15:00:00.000Z,2021-12-15T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:25:EB
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-89338B - BSSID: 74:4C:A1:89:33:8B - Location: Fort Worth, Tarrant County - ZIP: 76119",POINT(-97.23018646 32.71066666),Flock-89338B,74:4C:A1:89:33:8B,Fort Worth,Tarrant,76119,32.71066666,-97.23018646,2021-12-14T16:00:00.000Z,2021-12-15T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:33:8B
ALPR Camera - Lewisville,"ALPR Surveillance Camera - SSID: Flock-896153 - BSSID: 74:4C:A1:89:61:53 - Location: Lewisville, Denton County - ZIP: 75057",POINT(-96.9931488 32.99585342),Flock-896153,74:4C:A1:89:61:53,Lewisville,Denton,75057,32.99585342,-96.9931488,2022-02-25T16:00:00.000Z,2022-02-25T15:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:61:53
ALPR Camera - Flower Mound,"ALPR Surveillance Camera - SSID: Flock-89854B - BSSID: 74:4C:A1:89:85:4B - Location: Flower Mound, Denton County - ZIP: 75028",POINT(-97.04974365 33.0135498),Flock-89854B,74:4C:A1:89:85:4B,Flower Mound,Denton,75028,33.0135498,-97.04974365,2022-03-10T19:00:00.000Z,2022-03-10T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:85:4B
ALPR Camera - Sugar Land,"ALPR Surveillance Camera - SSID: Flock-127CDF - BSSID: 80:30:49:12:7C:DF - Location: Sugar Land, Harris County - ZIP: 77478",POINT(-95.63022614 29.6209774),Flock-127CDF,80:30:49:12:7C:DF,Sugar Land,Harris,77478,29.6209774,-95.63022614,2021-05-12T17:00:00.000Z,2021-05-31T17:00:00.000Z,https://wigle.net/search?netid=80:30:49:12:7C:DF
ALPR Camera - Argyle,"ALPR Surveillance Camera - SSID: Flock-4FEF77 - BSSID: 9C:2F:9D:4F:EF:77 - Location: Argyle, Denton County - ZIP: 76226",POINT(-97.14063263 33.10456085),Flock-4FEF77,9C:2F:9D:4F:EF:77,Argyle,Denton,76226,33.10456085,-97.14063263,2024-06-13T14:00:00.000Z,2024-06-13T10:00:00.000Z,https://wigle.net/search?netid=9C:2F:9D:4F:EF:77
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-625A19 - BSSID: 9C:2F:9D:62:5A:19 - Location: Fort Worth, Tarrant County - ZIP: 76135",POINT(-97.41928101 32.81547165),Flock-625A19,9C:2F:9D:62:5A:19,Fort Worth,Tarrant,76135,32.81547165,-97.41928101,2024-05-06T21:00:00.000Z,2024-05-12T16:00:00.000Z,https://wigle.net/search?netid=9C:2F:9D:62:5A:19
ALPR Camera - Dallas,"ALPR Surveillance Camera - SSID: Flock-324545 - BSSID: B8:27:EB:32:45:45 - Location: Dallas, Dallas County - ZIP: 75243",POINT(-96.71796417 32.91269302),Flock-324545,B8:27:EB:32:45:45,Dallas,Dallas,75243,32.91269302,-96.71796417,2020-05-03T13:00:00.000Z,2020-05-03T15:00:00.000Z,https://wigle.net/search?netid=B8:27:EB:32:45:45
ALPR Camera - Crowley,"ALPR Surveillance Camera - SSID: Flock-54E371 - BSSID: D0:39:57:54:E3:71 - Location: Crowley, Tarrant County - ZIP: 76034",POINT(-97.09835052 32.88135147),Flock-54E371,D0:39:57:54:E3:71,Crowley,Tarrant,76034,32.88135147,-97.09835052,2025-02-06T16:00:00.000Z,2025-05-07T14:00:00.000Z,https://wigle.net/search?netid=D0:39:57:54:E3:71
ALPR Camera - Plano,"ALPR Surveillance Camera - SSID: Flock-3D1499 - BSSID: D8:F3:BC:3D:14:99 - Location: Plano, Collin County - ZIP: 75093",POINT(-96.816185 33.05674744),Flock-3D1499,D8:F3:BC:3D:14:99,Plano,Collin,75093,33.05674744,-96.816185,2021-12-17T19:00:00.000Z,2021-12-17T17:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:14:99
ALPR Camera - Arlington,"ALPR Surveillance Camera - SSID: Flock-3D156D - BSSID: D8:F3:BC:3D:15:6D - Location: Arlington, Tarrant County - ZIP: 76002",POINT(-97.11692047 32.60771561),Flock-3D156D,D8:F3:BC:3D:15:6D,Arlington,Tarrant,76002,32.60771561,-97.11692047,2022-06-28T20:00:00.000Z,2022-06-28T18:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:15:6D
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-3D166F - BSSID: D8:F3:BC:3D:16:6F - Location: Fort Worth, Tarrant County - ZIP: 76137",POINT(-97.29066467 32.79760742),Flock-3D166F,D8:F3:BC:3D:16:6F,Fort Worth,Tarrant,76137,32.79760742,-97.29066467,2021-11-29T22:00:00.000Z,2021-11-29T20:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:16:6F
ALPR Camera - Conroe,"ALPR Surveillance Camera - SSID: Flock-3D16C5 - BSSID: D8:F3:BC:3D:16:C5 - Location: Conroe, Montgomery County - ZIP: 77301",POINT(-95.47190094 30.31661224),Flock-3D16C5,D8:F3:BC:3D:16:C5,Conroe,Montgomery,77301,30.31661224,-95.47190094,2021-06-12T15:00:00.000Z,2021-06-13T04:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:16:C5
ALPR Camera - Houston,"ALPR Surveillance Camera - SSID: Flock-3D1F01 - BSSID: D8:F3:BC:3D:1F:01 - Location: Houston, Harris County - ZIP: 77055",POINT(-95.49349976 29.78390503),Flock-3D1F01,D8:F3:BC:3D:1F:01,Houston,Harris,77055,29.78390503,-95.49349976,2021-05-08T21:00:00.000Z,2024-11-15T17:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:1F:01
ALPR Camera - Conroe,"ALPR Surveillance Camera - SSID: Flock-3D2027 - BSSID: D8:F3:BC:3D:20:27 - Location: Conroe, Montgomery County - ZIP: 77301",POINT(-95.46896362 30.31544685),Flock-3D2027,D8:F3:BC:3D:20:27,Conroe,Montgomery,77301,30.31544685,-95.46896362,2021-05-10T07:00:00.000Z,2021-05-28T08:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:20:27
ALPR Camera - Spring,"ALPR Surveillance Camera - SSID: Flock-3D20CD - BSSID: D8:F3:BC:3D:20:CD - Location: Spring, Montgomery County - ZIP: 77379",POINT(-95.57007599 30.02284431),Flock-3D20CD,D8:F3:BC:3D:20:CD,Spring,Montgomery,77379,30.02284431,-95.57007599,2021-10-03T21:00:00.000Z,2021-10-18T20:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:20:CD
ALPR Camera - Fort Worth,"ALPR Surveillance Camera - SSID: Flock-3D2459 - BSSID: D8:F3:BC:3D:24:59 - Location: Fort Worth, Tarrant County - ZIP: 76114",POINT(-97.38305664 32.78472519),Flock-3D2459,D8:F3:BC:3D:24:59,Fort Worth,Tarrant,76114,32.78472519,-97.38305664,2022-01-10T18:00:00.000Z,2022-01-11T04:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:24:59
ALPR Camera - Lewisville,"ALPR Surveillance Camera - SSID: Flock-564F25 - BSSID: E4:AA:EA:56:4F:25 - Location: Lewisville, Denton County - ZIP: 75057",POINT(-96.99291992 33.01314545),Flock-564F25,E4:AA:EA:56:4F:25,Lewisville,Denton,75057,33.01314545,-96.99291992,2021-05-16T12:00:00.000Z,2021-05-16T12:00:00.000Z,https://wigle.net/search?netid=E4:AA:EA:56:4F:25
ALPR Camera - Katy,"ALPR Surveillance Camera - SSID: Flock-564F77 - BSSID: E4:AA:EA:56:4F:77 - Location: Katy, Waller County - ZIP: 77493",POINT(-95.81030273 29.78261757),Flock-564F77,E4:AA:EA:56:4F:77,Katy,Waller,77493,29.78261757,-95.81030273,2020-08-25T13:00:00.000Z,2021-01-14T09:00:00.000Z,https://wigle.net/search?netid=E4:AA:EA:56:4F:77
ALPR Camera - Beach City,"ALPR Surveillance Camera - SSID: Flock-80A09B - BSSID: E4:AA:EA:80:A0:9B - Location: Beach City, Chambers County - ZIP: 77523",POINT(-94.82079315 29.82832336),Flock-80A09B,E4:AA:EA:80:A0:9B,Beach City,Chambers,77523,29.82832336,-94.82079315,2020-10-11T18:00:00.000Z,2021-09-01T18:00:00.000Z,https://wigle.net/search?netid=E4:AA:EA:80:A0:9B
ALPR Camera - Grapevine,"ALPR Surveillance Camera - SSID: Flock-5762B5 - BSSID: F4:6A:DD:57:62:B5 - Location: Grapevine, Tarrant County - ZIP: 76051",POINT(-97.09542847 32.93030167),Flock-5762B5,F4:6A:DD:57:62:B5,Grapevine,Tarrant,76051,32.93030167,-97.09542847,2025-07-31T19:00:00.000Z,2025-07-31T14:00:00.000Z,https://wigle.net/search?netid=F4:6A:DD:57:62:B5
